conflito,mortes,ano,localização,dados
Segunda Guerra Mundial,"
","70 000 000–85 000 000
","1939–1945
","Global, majoritariamente "
Conquistas e invasões mongóis,"
","30 000 000–40 000 000
","1206–1368
","Leste Europeu e Sibéria
"
Guerra dos Três reinos,"
","36 000 000–40 000 000
","184–280
","China
"
Segunda Guerra Sino-Japonesa,"
","20 000 000–25 000 000
","1937–1945
","China
"
Conquista Qing da dinastia Ming,"
","25 000 000
","1616–1662
","China
"
Rebelião Taiping,"
","20 000 000–70 000 000
","1850–1864
","China
"
Primeira Guerra Mundial,/,Grande Guerra,"
",16 000 000–40 000 000+ (a estimativa mais alta também inclui as primeiras vítimas da epidemia de 
Rebelião de An Lushuan,"
","13 000 000–36 000 000
","755–763
","China
"
Revolta Dungan,"
","8 000 000–20 000 000
","1862-1877
","China
"
Conquistas de ,Tamerlão,"
","8 000 000–20 000 000
","1370–1405
"
Guerra Civil Chinesa,"
","8 000 000
","1927–1949
","China
"
Guerra Civil Russa,"
","5 000 000–9 000 000
","1917–1922
","Rússia
"
Guerras Napoleônicas,"
","3 500 000–
","6 000 000
","
"
Guerra dos Trinta Anos,"
","3 000 000–
","11 500 000
","
"
Segunda Guerra do Congo,/,Guerra Mundial Africana,"
","2 500 000–
"
Guerras Religiosas na França,"
","2 000 000–
","4 000 000
","
"
Guerra Goguryeo–Sui,"
","2 000 000 pelo menos
","598–614
","Coreia
"
Conquistas de ,Shaka Zulu,"
","2 000 000
","1816–1828
"
Guerra da Coreia,"
","1 200 000
","1950–1953
","Coreia
"
Cerco de Jerusalém,"
","1 100 000
","73
","Israel
"
Revolução Mexicana,"
","1 000 000–
","2 000 000
","
"
Guerra Irã-Iraque,"/Primeira Guerra do Golfo
","1 000 000
","1980–1988
","Oriente Médio
"
Guerra Imjin,"
","1 000 000
","1592–1598
","Coreia
"
Guerra Civil da Nigéria,"
","1 000 000
","1967–1970
","Nigéria
"
Guerra Afegã-Soviética,"
","957 865–
","1 622 865
","
"
Conquistas de ,"Maomé II, o Conquistador","
","873 000
","1451–1481
"
Guerra dos Sete Anos,"
","868 000–
","1 400 000
","
"
Guerra do Vietnã,"/Segunda Guerra da Indochina
","800 000–
","3 800 000
","
"
Guerra Civil da Etiópia,"
","400 000-
","1 579 000
","
"
